""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"MK48-5-2455-DD-B"	89532	61268	60758	57892	57892
"MK48-5-2455-HD-B"	65482	44873	44575	42260	42260
"MK48-5-2461-DD-B"	35880	24274	24012	22551	22551
"MK48-5-2461-HD-B"	37417	25910	25648	24089	24089
"MK48-5-2470-DD-B"	65884	44856	44398	41642	41642
"MK48-5-2470-HD-B"	43580	29480	29082	27312	27312
"MK48-5-2476-DD-B"	86085	59355	58728	54919	54919
"MK48-5-2476-HD-B"	54021	37140	36864	35108	35108
"MK48-5-2488-DD-B"	63230	43051	42743	40174	40174
"MK48-5-2488-HD-B"	70103	47310	46955	44263	44263
"MK48-5-2601-DD-A-515rcbc146"	49043	46861	46096	44268	44268
"MK48-5-2601-HD-A-515rcbc145"	35741	34325	33424	32383	32383
"MK48-5-2601-HH-B"	56737	39243	38892	36995	36995
"MK48-5-2612-DD-B"	80636	77608	77061	75617	75617
"MK48-5-2612-HD-B"	48042	45219	45030	44504	44504
"MK48-5-2620-DD-A-515rcbc148"	21731	20115	18956	18149	18149
"MK48-5-2620-HD-A-515rcbc147"	26092	23825	22580	21570	21570
"MK48-5-2620-HH-B"	65374	62465	62263	60825	60825
"MK48-5-2622-DD-A-515rcbc150"	21139	20001	18788	17000	17000
"MK48-5-2622-HD-A-515rcbc149"	24791	23266	22910	22097	22097
"MK48-5-2623-DD-B"	65763	63342	62830	59991	59991
"MK48-5-2623-HD-B"	76787	72755	72391	71170	71170
"MK48-5-2625-DD-A-515rcbc152"	31996	30671	30120	28952	28952
"MK48-5-2625-HD-A-515rcbc151"	26438	25278	24222	23003	23003
"MK48-5-2636-DD-B"	57135	54957	54645	52371	52371
"MK48-5-2636-HD-B"	63081	60363	60039	58339	58339
"MK48-5-2637-DD-B"	53633	51420	51200	49346	49346
"MK48-5-2637-HD-B"	56226	50671	49942	47737	47737
"MK48-5-2639-DD-A-515rcbc154"	57109	54617	53623	50702	50702
"MK48-5-2639-HD-A-515rcbc153"	53139	51070	50494	47897	47897
"MK48-5-2641-DD-B"	29467	27290	27107	26166	26166
"MK48-5-2641-HD-B"	26404	24285	24135	23363	23363
"MK48-5-2642-DD-B"	30239	27613	27444	26553	26553
"MK48-5-2642-HD-B"	17451	17278	17186	16686	16686
"MK48-5-2649-DD-B"	6693	5374	5246	5078	5078
"MK48-5-2649-HD-B"	17899	15554	15437	14998	14998
"MK48-5-2657-DD-B"	40616	37781	37496	35958	35958
"MK48-5-2657-HD-B"	7120	5797	5514	4931	4931
"MK48-5-2660-DD-A-515rcbc156"	47092	44354	42443	40337	40337
"MK48-5-2660-HD-A-515rcbc155"	45398	43753	42417	39185	39185
"MK48-5-2660-HH-B"	20071	18926	18861	18501	18501
"MK48-5-2664-DD-B"	48732	47167	46893	45964	45964
"MK48-5-2664-HD-B"	33287	31650	31527	30945	30945
"MK48-5-2667-DD-A-515rcbc158"	26441	24977	24485	23609	23609
"MK48-5-2667-DD-B"	42049	39645	39400	37954	37954
"MK48-5-2667-HD-A-515rcbc157"	26544	25117	23905	22849	22849
"MK48-5-2667-HD-B"	46838	44622	44442	43516	43516
"MK48-5-2668-DD-A-515rcbc160"	42023	40032	39075	37799	37799
"MK48-5-2668-HD-A-515rcbc159"	56782	54477	54120	51302	51302
"MK48-5-2668-HH-B"	34290	31675	31369	29825	29825
"MK48-5-2677-DD-B-515rcbc116"	47080	42892	42542	41005	41005
"MK48-5-2677-HD-B-515rcbc115"	45497	43107	42834	42044	42044
"MK48-5-2692-DD-B"	27281	25193	25011	24308	24308
"MK48-5-2692-HD-B"	29729	27115	26860	25817	25817
"MK48-5-2696-DD-B"	31032	28354	26873	23275	23275
"MK48-5-2696-HD-B"	44013	41815	41585	40335	40335
"MK48-5-2700-DD-A-515rcbc162"	27228	25857	24814	22790	22790
"MK48-5-2700-HD-A-515rcbc161"	21388	20308	19554	18764	18764
